Fecha,Column 3,Column 4,Número
2020-07-10T03:21:37Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,32606
2020-07-10T03:21:37Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,47018
2020-07-10T04:21:35Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,47542
2020-07-10T04:21:35Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,32687
2020-07-10T05:26:33Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,47396
2020-07-10T05:26:33Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,32896
2020-07-10T06:26:33Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,
2020-07-10T06:26:33Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,46479
2020-07-10T06:26:33Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,33712
2020-07-10T07:26:32Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,
2020-07-10T07:26:32Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,34580
2020-07-10T07:26:32Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,44694
2020-07-10T08:26:33Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,
2020-07-10T09:26:36Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,
2020-07-10T10:26:38Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,
2020-07-10T11:31:41Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,
2020-07-10T12:31:42Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,
2020-07-10T13:31:33Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,
2020-07-10T14:31:35Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,
2020-07-10T15:36:37Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,
2020-07-10T16:36:37Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,
2020-07-10T17:36:37Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,
2020-07-10T18:36:35Z,Rey Felipe,http://twitter.com/search?q=%22Rey+Felipe%22,
2020-07-11T01:46:32Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,
2020-07-11T02:41:31Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,24385
2020-07-11T02:41:31Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,
2020-07-11T03:46:29Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,
2020-07-11T04:46:29Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,24156
2020-07-11T04:46:29Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,
2020-07-11T05:51:28Z,#FelizSábado,http://twitter.com/search?q=%23FelizS%C3%A1bado,
2020-07-11T05:51:28Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,
2020-07-11T06:46:28Z,#FelizSábado,http://twitter.com/search?q=%23FelizS%C3%A1bado,
2020-07-11T07:51:29Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,
2020-07-11T08:51:29Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,
2020-07-11T09:51:28Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,
2020-07-11T10:51:31Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,
2020-07-11T11:56:34Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,
2020-07-11T12:51:36Z,Feliz Sábado,http://twitter.com/search?q=%22Feliz+S%C3%A1bado%22,
2020-07-11T12:51:36Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,11492
2020-07-11T13:56:36Z,Feliz Sábado,http://twitter.com/search?q=%22Feliz+S%C3%A1bado%22,11100
2020-07-11T13:56:36Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,14793
2020-07-11T14:56:37Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,18055
2020-07-12T03:06:30Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,36973
2020-07-12T04:06:28Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,37332
2020-07-12T05:11:28Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,
2020-07-12T05:11:28Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,37500
2020-07-12T06:11:26Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,
2020-07-12T06:11:26Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,36925
2020-07-12T07:11:26Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,
2020-07-12T07:11:26Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,35700
2020-07-12T08:11:22Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,
2020-07-12T08:11:22Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,34628
2020-07-12T09:16:25Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,
2020-07-12T09:16:25Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,33587
2020-07-12T10:16:25Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,
2020-07-12T11:16:27Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,
